Volume,VWAP,Open,Close,High,Low,Timestamp,Number_of_Trades,Date
12956,194.0279,193.99,194.0,194.13,193.97,1688371200000,256,2023-07-03
5882,194.1975,194.16,194.2,194.22,194.15,1688371260000,113,2023-07-03
1894,194.1974,194.2,194.2,194.2,194.19,1688371320000,30,2023-07-03
760,194.166,194.15,194.16,194.16,194.15,1688371380000,39,2023-07-03
2650,194.1882,194.2,194.13,194.25,194.13,1688371440000,55,2023-07-03
1161,194.0639,194.06,194.06,194.06,194.06,1688371560000,64,2023-07-03
2023,194.0824,194.07,194.09,194.16,194.02,1688371620000,88,2023-07-03
1574,194.0507,194.08,194.05,194.08,194.02,1688371680000,49,2023-07-03
3808,194.0059,194.01,194.0,194.01,193.99,1688371740000,109,2023-07-03
591,193.9642,193.97,193.97,193.97,193.97,1688371800000,45,2023-07-03
4234,193.9901,193.96,194.0,194.0,193.96,1688371860000,74,2023-07-03
400,194.1061,194.11,194.11,194.11,194.11,1688371920000,28,2023-07-03
1844,194.0794,194.08,194.08,194.08,194.08,1688371980000,34,2023-07-03
1149,194.045,194.06,194.02,194.06,194.02,1688372040000,42,2023-07-03
900,194.0504,194.05,194.05,194.05,194.05,1688372100000,25,2023-07-03
2337,193.9987,194.05,193.98,194.05,193.98,1688372160000,87,2023-07-03
2329,193.9154,193.92,193.85,193.92,193.85,1688372220000,97,2023-07-03
748,193.8452,193.85,193.85,193.85,193.85,1688372280000,24,2023-07-03
1223,193.8404,193.85,193.84,193.85,193.82,1688372340000,21,2023-07-03
2813,193.8396,193.84,193.83,193.85,193.83,1688372400000,31,2023-07-03
700,193.8316,193.85,193.84,193.85,193.84,1688372460000,27,2023-07-03
3341,193.8269,193.88,193.84,193.88,193.8,1688372520000,88,2023-07-03
140,193.7986,193.8,193.8,193.8,193.8,1688372580000,15,2023-07-03
937,193.7481,193.74,193.76,193.76,193.74,1688372760000,32,2023-07-03
871,193.752,193.73,193.73,193.73,193.73,1688372880000,41,2023-07-03
1624,193.7774,193.76,193.8,193.8,193.76,1688373120000,32,2023-07-03
778,193.8435,193.85,193.83,193.85,193.83,1688373300000,28,2023-07-03
1809,193.8206,193.83,193.82,193.83,193.82,1688373420000,24,2023-07-03
1598,193.75,193.79,193.73,193.79,193.73,1688373540000,34,2023-07-03
571,193.7337,193.73,193.73,193.73,193.73,1688373660000,20,2023-07-03
1425,193.7534,193.74,193.8,193.8,193.74,1688373720000,19,2023-07-03
401,193.8099,193.82,193.82,193.82,193.82,1688373840000,16,2023-07-03
2162,193.7652,193.76,193.76,193.76,193.76,1688373900000,30,2023-07-03
571,193.7817,193.8,193.77,193.8,193.77,1688374020000,19,2023-07-03
363,193.7899,193.79,193.79,193.79,193.79,1688374080000,17,2023-07-03
679,193.7915,193.79,193.79,193.79,193.79,1688374140000,18,2023-07-03
679,193.7918,193.79,193.8,193.8,193.79,1688374200000,18,2023-07-03
666,193.7947,193.79,193.79,193.79,193.79,1688374260000,16,2023-07-03
869,193.8119,193.79,193.83,193.83,193.79,1688374320000,32,2023-07-03
848,193.8058,193.81,193.8,193.81,193.8,1688374380000,23,2023-07-03
451,193.7931,193.79,193.79,193.79,193.79,1688374440000,26,2023-07-03
661,193.7845,193.77,193.77,193.77,193.77,1688374500000,28,2023-07-03
1258,193.7751,193.77,193.77,193.78,193.77,1688374560000,23,2023-07-03
1087,193.7349,193.71,193.71,193.71,193.71,1688374620000,73,2023-07-03
673,193.7134,193.71,193.71,193.71,193.71,1688374680000,23,2023-07-03
1532,193.7208,193.72,193.74,193.74,193.71,1688374800000,30,2023-07-03
834,193.7124,193.71,193.71,193.71,193.71,1688374860000,16,2023-07-03
643,193.7058,193.7,193.7,193.7,193.7,1688374920000,23,2023-07-03
607,193.7133,193.72,193.71,193.72,193.71,1688375100000,20,2023-07-03
475,193.708,193.71,193.7,193.71,193.7,1688375220000,20,2023-07-03
3704,193.7058,193.7,193.71,193.71,193.69,1688375280000,73,2023-07-03
2503,193.7846,193.71,193.8,193.8,193.71,1688375340000,47,2023-07-03
538,193.8012,193.8,193.8,193.8,193.8,1688375400000,17,2023-07-03
683,193.7974,193.8,193.8,193.8,193.8,1688375460000,21,2023-07-03
580,193.7981,193.8,193.79,193.8,193.79,1688375640000,34,2023-07-03
893,193.7767,193.79,193.77,193.79,193.77,1688375760000,22,2023-07-03
565,193.7059,193.68,193.68,193.68,193.68,1688376000000,50,2023-07-03
220,193.7015,193.7,193.7,193.7,193.7,1688376360000,6,2023-07-03
320,193.7902,193.8,193.8,193.8,193.8,1688376600000,17,2023-07-03
659,193.7027,193.7,193.7,193.7,193.7,1688376720000,16,2023-07-03
1410,193.6885,193.7,193.65,193.73,193.65,1688376840000,78,2023-07-03
912,193.6393,193.66,193.62,193.66,193.62,1688376900000,25,2023-07-03
226,193.6502,193.65,193.65,193.65,193.65,1688376960000,9,2023-07-03
1731,193.6353,193.65,193.65,193.65,193.62,1688377020000,41,2023-07-03
2269,193.6024,193.62,193.6,193.62,193.6,1688377080000,47,2023-07-03
1014,193.6079,193.6,193.6,193.62,193.6,1688377140000,28,2023-07-03
670,193.599,193.6,193.6,193.6,193.6,1688377200000,33,2023-07-03
871,193.5407,193.54,193.55,193.55,193.54,1688377260000,40,2023-07-03
1081,193.5479,193.55,193.55,193.55,193.55,1688377320000,24,2023-07-03
1006,193.5875,193.6,193.6,193.6,193.6,1688377800000,26,2023-07-03
416,193.5989,193.6,193.6,193.6,193.6,1688378100000,19,2023-07-03
1029,193.6186,193.62,193.62,193.62,193.62,1688378220000,13,2023-07-03
1689,193.6233,193.63,193.51,193.63,193.51,1688378640000,104,2023-07-03
5790,193.3662,193.5,193.29,193.51,193.0,1688378700000,329,2023-07-03
1602,193.2584,193.3,193.26,193.3,193.26,1688378760000,51,2023-07-03
1015,193.2486,193.19,193.26,193.27,193.19,1688378820000,28,2023-07-03
510,193.3524,193.35,193.35,193.35,193.35,1688378940000,29,2023-07-03
1378,193.3824,193.35,193.42,193.42,193.35,1688379000000,56,2023-07-03
1088,193.409,193.42,193.4,193.42,193.4,1688379120000,66,2023-07-03
1455,193.4318,193.47,193.41,193.47,193.41,1688379360000,21,2023-07-03
1980,193.4068,193.37,193.36,193.47,193.36,1688379480000,66,2023-07-03
813,193.3828,193.38,193.38,193.38,193.38,1688379600000,7,2023-07-03
735,193.4993,193.5,193.49,193.5,193.49,1688379780000,35,2023-07-03
1551,193.4365,193.43,193.43,193.43,193.43,1688379900000,38,2023-07-03
651,193.4537,193.48,193.48,193.48,193.48,1688380740000,50,2023-07-03
718,193.4445,193.46,193.46,193.46,193.46,1688381100000,33,2023-07-03
